Dia,Mes,Ano,Caudal_Diario
12,SET,1957,10.09
13,SET,1957,24.98
14,SET,1957,51.4
15,SET,1957,39.44
16,SET,1957,17.5
17,SET,1957,12.91
18,SET,1957,12.05
19,SET,1957,10.3
20,SET,1957,33.92
21,SET,1957,78.04
22,SET,1957,87.27
23,SET,1957,37.96
24,SET,1957,49.5
25,SET,1957,22.23
26,SET,1957,59.24
27,SET,1957,66.9
28,SET,1957,69.04
29,SET,1957,53.93
30,SET,1957,24.68
31,SET,1957,
1,OCT,1957,26.84
2,OCT,1957,95.74
3,OCT,1957,75.48
4,OCT,1957,79.63
5,OCT,1957,73.42
6,OCT,1957,27.07
7,OCT,1957,68.24
8,OCT,1957,63.43
9,OCT,1957,43.49
10,OCT,1957,25.23
11,OCT,1957,103.96
12,OCT,1957,78.88
13,OCT,1957,22.84
14,OCT,1957,111.01
15,OCT,1957,55.57
16,OCT,1957,37.15
17,OCT,1957,24.79
18,OCT,1957,17.93
19,OCT,1957,16.0
20,OCT,1957,15.51
21,OCT,1957,13.06
22,OCT,1957,12.46
23,OCT,1957,37.35
24,OCT,1957,33.18
25,OCT,1957,31.81
26,OCT,1957,21.08
27,OCT,1957,17.47
28,OCT,1957,13.34
29,OCT,1957,13.44
30,OCT,1957,11.54
31,OCT,1957,10.94
1,NOV,1957,14.46
2,NOV,1957,16.49
3,NOV,1957,16.32
4,NOV,1957,15.5
5,NOV,1957,14.88
6,NOV,1957,14.32
7,NOV,1957,13.62
8,NOV,1957,13.06
9,NOV,1957,12.52
10,NOV,1957,12.14
11,NOV,1957,11.78
12,NOV,1957,11.3
13,NOV,1957,10.94
14,NOV,1957,10.58
15,NOV,1957,10.12
16,NOV,1957,9.9
17,NOV,1957,9.8
18,NOV,1957,9.6
19,NOV,1957,9.4
20,NOV,1957,13.45
21,NOV,1957,6.68
22,NOV,1957,7.05
23,NOV,1957,8.0
24,NOV,1957,8.0
25,NOV,1957,6.42
26,NOV,1957,5.62
27,NOV,1957,6.32
28,NOV,1957,6.76
29,NOV,1957,6.42
30,NOV,1957,5.94
31,NOV,1957,
1,DIC,1957,5.7
2,DIC,1957,5.62
3,DIC,1957,5.46
4,DIC,1957,5.3
5,DIC,1957,5.3
6,DIC,1957,5.12
7,DIC,1957,4.94
8,DIC,1957,4.58
9,DIC,1957,4.4
10,DIC,1957,4.58
11,DIC,1957,4.76
12,DIC,1957,4.4
13,DIC,1957,5.02
14,DIC,1957,5.78
15,DIC,1957,6.1
16,DIC,1957,5.94
17,DIC,1957,5.78
18,DIC,1957,5.62
19,DIC,1957,5.78
20,DIC,1957,5.94
21,DIC,1957,5.62
22,DIC,1957,5.2
23,DIC,1957,4.91
24,DIC,1957,4.76
25,DIC,1957,4.4
26,DIC,1957,4.24
27,DIC,1957,4.24
28,DIC,1957,4.24
29,DIC,1957,4.24
30,DIC,1957,4.24
31,DIC,1957,4.24
1,ENE,1958,4.24
2,ENE,1958,4.24
3,ENE,1958,4.24
4,ENE,1958,4.24
5,ENE,1958,4.24
6,ENE,1958,4.24
7,ENE,1958,4.24
8,ENE,1958,4.24
9,ENE,1958,4.24
10,ENE,1958,4.24
11,ENE,1958,4.24
12,ENE,1958,4.24
13,ENE,1958,4.24
14,ENE,1958,4.24
15,ENE,1958,4.24
16,ENE,1958,4.24
17,ENE,1958,4.24
18,ENE,1958,4.24
19,ENE,1958,4.24
20,ENE,1958,4.24
21,ENE,1958,4.24
22,ENE,1958,4.08
23,ENE,1958,3.76
24,ENE,1958,3.6
25,ENE,1958,3.6
26,ENE,1958,3.76
27,ENE,1958,3.46
28,ENE,1958,3.18
29,ENE,1958,3.04
30,ENE,1958,3.04
31,ENE,1958,2.76
1,FEB,1958,2.48
2,FEB,1958,2.34
3,FEB,1958,2.62
4,FEB,1958,3.37
5,FEB,1958,3.32
6,FEB,1958,3.32
7,FEB,1958,3.04
8,FEB,1958,2.9
9,FEB,1958,3.18
10,FEB,1958,3.46
11,FEB,1958,3.32
12,FEB,1958,3.18
13,FEB,1958,2.9
14,FEB,1958,2.76
15,FEB,1958,2.76
16,FEB,1958,2.62
17,FEB,1958,2.48
18,FEB,1958,2.9
19,FEB,1958,4.04
20,FEB,1958,5.02
21,FEB,1958,5.27
22,FEB,1958,5.11
23,FEB,1958,4.85
24,FEB,1958,4.08
25,FEB,1958,3.61
26,FEB,1958,3.32
27,FEB,1958,3.32
28,FEB,1958,3.11
29,FEB,1958,
30,FEB,1958,
31,FEB,1958,
1,MAR,1958,2.87
2,MAR,1958,2.62
3,MAR,1958,2.62
4,MAR,1958,2.48
5,MAR,1958,2.34
6,MAR,1958,2.48
7,MAR,1958,2.97
8,MAR,1958,2.76
9,MAR,1958,3.8
10,MAR,1958,2.5
11,MAR,1958,2.43
12,MAR,1958,2.2
13,MAR,1958,2.1
14,MAR,1958,2.1
15,MAR,1958,2.1
16,MAR,1958,1.9
17,MAR,1958,1.9
18,MAR,1958,1.9
19,MAR,1958,1.9
20,MAR,1958,1.9
21,MAR,1958,1.9
22,MAR,1958,3.51
23,MAR,1958,2.62
24,MAR,1958,2.2
25,MAR,1958,3.16
26,MAR,1958,2.2
27,MAR,1958,2.1
